RegionID	SizeRank	RegionName	RegionType	StateName	MSAStateName
102001	0	United States	country		[]
394913	1	New York, NY	msa	NY	['NY', 'NJ', 'PA']
753899	2	Los Angeles, CA	msa	CA	['CA']
394463	3	Chicago, IL	msa	IL	['IL', 'IN', 'WI']
394514	4	Dallas, TX	msa	TX	['TX']
394692	5	Houston, TX	msa	TX	['TX']
395209	6	Washington, DC	msa	VA	['VA', 'DC', 'MD', 'WV']
394856	7	Miami, FL	msa	FL	['FL']
394974	8	Philadelphia, PA	msa	PA	['PA', 'NJ', 'DE']
394347	9	Atlanta, GA	msa	GA	['GA']
394976	10	Phoenix, AZ	msa	AZ	['AZ']
394404	11	Boston, MA	msa	MA	['MA', 'NH']
395057	12	San Francisco, CA	msa	CA	['CA']
395025	13	Riverside, CA	msa	CA	['CA']
394532	14	Detroit, MI	msa	MI	['MI']
395078	15	Seattle, WA	msa	WA	['WA']
394865	16	Minneapolis, MN	msa	MN	['MN']
395056	17	San Diego, CA	msa	CA	['CA']
395148	18	Tampa, FL	msa	FL	['FL']
394530	19	Denver, CO	msa	CO	['CO']
395121	20	St. Louis, MO	msa	MO	['MO']
394358	21	Baltimore, MD	msa	MD	['MD']
394458	22	Charlotte, NC	msa	NC	['NC', 'SC']
394943	23	Orlando, FL	msa	FL	['FL']
395055	24	San Antonio, TX	msa	TX	['TX']
394998	25	Portland, OR	msa	OR	['OR', 'WA']
395045	26	Sacramento, CA	msa	CA	['CA']
394775	27	Las Vegas, NV	msa	NV	['NV']
394982	28	Pittsburgh, PA	msa	PA	['PA']
394355	29	Austin, TX	msa	TX	['TX']
394466	30	Cincinnati, OH	msa	OH	['OH']
394735	31	Kansas City, MO	msa	MO	['MO']
394492	32	Columbus, OH	msa	OH	['OH']
394705	33	Indianapolis, IN	msa	IN	['IN']
394475	34	Cleveland, OH	msa	OH	['OH']
395059	35	San Jose, CA	msa	CA	['CA']
394902	36	Nashville, TN	msa	TN	['TN']
395194	37	Virginia Beach, VA	msa	VA	['VA', 'NC']
395005	38	Providence, RI	msa	RI	['RI', 'MA']
394714	39	Jacksonville, FL	msa	FL	['FL']
394862	40	Milwaukee, WI	msa	WI	['WI']
394935	41	Oklahoma City, OK	msa	OK	['OK']
395012	42	Raleigh, NC	msa	NC	['NC']
394849	43	Memphis, TN	msa	TN	['TN']
395022	44	Richmond, VA	msa	VA	['VA']
394910	45	New Orleans, LA	msa	LA	['LA']
394807	46	Louisville, KY	msa	KY	['KY']
